hhhhh好欢乐	926.615	2016-10-01 07:52:37
 这仨好搞啊[笑哭]	1005.61	2016-10-01 07:59:01
跟考了不及格似的	1093.93	2016-10-01 08:14:10
草草草草，药王要完了。。。。。。	605.01	2016-10-01 08:15:23
我觉得加豆浆的菜饭一般人也想不出来啊	664.232	2016-10-01 08:20:04
我想问要准备多少件衣服	248.47	2016-10-01 08:35:16
iPhone手机	1086.24	2016-10-01 08:50:36
我去喝豆浆了	277.43	2016-10-01 08:54:36
和他老爹一样万年老二？	829.288	2016-10-01 08:56:23
油条呢	288.941	2016-10-01 09:01:27
叶山好帅	1037.84	2016-10-01 09:01:48
完了，gg	770.202	2016-10-01 09:03:08
真的完了	796.951	2016-10-01 09:03:33
不要怕，还有三集，主角还有机会	825.435	2016-10-01 09:05:46
我猜要平	566.898	2016-10-01 09:06:13
男主换了	1129.79	2016-10-01 09:20:38
然而你也只知道氨基酸。。	279.398	2016-10-01 09:41:49
对方一辩你说的很有道理	511.572	2016-10-01 09:47:05
gtmd	685.094	2016-10-01 09:50:44
真的心疼药王	941.041	2016-10-01 09:57:42
所以说那些认怠惰了是吧	510.161	2016-10-01 10:22:00
恭喜！！！！！八年前！！！！！！！	677.768	2016-10-01 10:31:37
不跳路过	177.957	2016-10-01 10:38:29
周杰伦导师	671.435	2016-10-01 10:39:44
八年前是什么	685.646	2016-10-01 10:40:05
这个声音好像旋风管家里面的那个西泽？	776.382	2016-10-01 10:42:15
233333333333	1004.13	2016-10-01 10:57:08
哈哈哈哈哈哈哈哈哈	1339.28	2016-10-01 11:01:58
主角和他爹一个命运，老二	845.995	2016-10-01 11:10:30
老夫先干为敬	856.538	2016-10-01 11:21:43
对啊刚刚学长好像李白哥哥！！！！	1425.16	2016-10-01 11:36:42
(╯‵□′)╯︵┻━┻	695.314	2016-10-01 11:38:26
阴吹思婷	570.166	2016-10-01 11:44:01
好像换了主角一样	892.876	2016-10-01 11:46:44
诶神作了。	942.878	2016-10-01 11:49:21
雪平锅！	4.824	2016-10-01 11:58:10
刀片	845.778	2016-10-01 12:04:28
八你妹	682.298	2016-10-01 12:14:20
23333333333333	964.226	2016-10-01 12:45:34
切嗣爸爸。。。	433.073	2016-10-01 12:49:41
可以。很强	812.536	2016-10-01 12:54:36
woc。曲屏？	1119.1	2016-10-01 12:59:06
233333333	1348.75	2016-10-01 13:02:34
妈的，好生气	696.658	2016-10-01 13:09:29
换主角了吗	834.906	2016-10-01 13:11:46
扯 头 巾 啊	918.013	2016-10-01 13:13:24
哈哈哈哈哈	1008.28	2016-10-01 13:14:14
杜兰特的你只认你	1405.66	2016-10-01 13:25:49
突然很开心啊	816.542	2016-10-01 13:32:01
奥义终结	803.771	2016-10-01 14:17:18
学长很懂嘛，知道欺负老婆就回来一个丈夫	36.158	2016-10-01 14:35:39
暂停看结构式	283.433	2016-10-01 14:46:38
啊啊啊啊喜欢上了！！	853.552	2016-10-01 14:49:11
猝不及防，一口狗粮	868.745	2016-10-01 15:58:15
23333333333333333	1097.68	2016-10-01 18:15:54
做个饭也要比惨？	767.722	2016-10-01 19:53:13
都是银牌	1054.52	2016-10-01 20:18:44
不不不我拒绝想象我想吐	285.29	2016-10-01 20:18:46
怀疑黄头发的不是亲生的	1012.34	2016-10-01 20:19:56
恭喜八年前∑(O_O；)	682.464	2016-10-01 20:21:00
主角光环呢？？？	814.268	2016-10-01 20:23:47
分手快乐祝你快乐~	928.299	2016-10-01 20:29:54
药23333	816.684	2016-10-01 20:41:16
感觉要完	610.835	2016-10-01 20:54:35
总之就是男主缺个女人	818.876	2016-10-01 21:08:18
男主你看着眼酸吗，，，我都心疼	920.334	2016-10-01 21:10:21
鲁迅客串食戟	662.338	2016-10-01 21:29:24
男主只有爸爸哈哈哈哈哈哈	942.139	2016-10-01 22:16:10
圣光普照	330.7	2016-10-01 22:36:39
衣服再生技能	547.069	2016-10-01 22:43:15
为何我看见了486	363.096	2016-10-01 22:47:53
成功的男人身后要一个女人啊！	814.663	2016-10-01 22:48:28
10.2笑笑不说话	1164.86	2016-10-01 22:49:34
结婚啊！这么赞的求婚机会	887.945	2016-10-01 22:50:03
坐等炸档	190.612	2016-10-01 22:54:38
和他老爸当年一样	837.8	2016-10-01 22:55:05
纠结伦	668.597	2016-10-01 22:59:27
6的飞起	677.586	2016-10-01 22:59:46
药前女	1138.8	2016-10-01 23:10:39
扫大街	1448.46	2016-10-01 23:16:08
2个银一个金……	1054.53	2016-10-01 23:16:15
真.不到加时不会玩	91.342	2016-10-01 23:16:35
男主用苹果4ヽ(*з｀*)	1133.73	2016-10-01 23:19:13
10.2	1157.01	2016-10-01 23:27:23
太好了啊啊啊啊啊	815.596	2016-10-01 23:29:06
这一对好萌	870.064	2016-10-01 23:30:19
我老家的一道宫保鸡丁完爆这道菜	359.38	2016-10-01 23:38:38
我哭！为什么不是药王！！	808.521	2016-10-02 00:08:21
醉了	683.35	2016-10-02 00:09:12
意思就是创真不要脸呗？	460.766	2016-10-02 00:11:48
有基洗佬 是Gay！	530.733	2016-10-02 00:13:39
天天这么吃不会胖吗？	224.278	2016-10-02 00:14:24
果然是泡妹专用	345.194	2016-10-02 00:19:39
空降成功	107.724	2016-10-02 00:21:40
这个人。。PPAP？？！！	48.661	2016-10-02 00:21:44
空耳233333333333	144.848	2016-10-02 00:26:24
豆浆好喝啊啊啊QVQ	276.382	2016-10-02 00:28:35
2333333333333333	934.07	2016-10-02 00:33:25
好方qwq	612.243	2016-10-02 00:34:14
感觉这回忆和火影有的一比了	702.83	2016-10-02 00:36:32
啊啊啊啊啊啊啊啊	825.383	2016-10-02 00:39:21
233333333333	987.395	2016-10-02 00:42:17
23333333333	1419.17	2016-10-02 00:43:03
卧槽防不胜防"(Д*)	679.554	2016-10-02 00:51:55
完结撒花	1185.67	2016-10-02 00:52:01
卧槽操	676.787	2016-10-02 00:56:54
一口气	26.854	2016-10-02 00:58:14
叶山亮：这tm就是你来老子这蹭饭的理由	1394.68	2016-10-02 00:58:45
小名八年前	766.387	2016-10-02 00:59:15
学长好久不脱衣了 	420.884	2016-10-02 01:04:04
李云龙！！！	670.737	2016-10-02 01:13:34
