我也是清明节生日	89.216003417969	2017-03-26 06:00:42
你在期待什么啊	857.375	2017-03-26 06:01:18
233333333333	629.01898193359	2017-03-26 06:00:27
不是一团么？	830.65002441406	2017-03-26 06:02:08
gayligay气	1128.2900390625	2017-03-26 06:02:53
囍	669.82098388672	2017-03-26 06:03:58
神他妈从树林里长出来hhh	977.41998291016	2017-03-26 06:04:43
日常篇开始	474.82699584961	2017-03-26 06:05:21
(o' 'o)	1050.6600341797	2017-03-26 06:04:48
生化危机7上线	1078.6400146484	2017-03-26 06:06:17
(o' 'o)	1052.7399902344	2017-03-26 06:05:02
23333333333333333333333333333	1121.2399902344	2017-03-26 06:06:59
2333什么鬼，又想肛别人	1127.7299804688	2017-03-26 06:07:25
心疼	108.55500030518	2017-03-26 06:08:30
零，不over	1178.9899902344	2017-03-26 06:08:31
这bgm	59.416000366211	2017-03-26 06:08:34
前面说missing9的别走？！带我一个	452.72698974609	2017-03-26 06:08:54
恶意煽情啊!!这bgm想哭	1211.3000488281	2017-03-26 06:10:00
2333333	144.07899475098	2017-03-26 06:10:37
又是一个存档点	1305.7299804688	2017-03-26 06:11:10
这个bgm真是煽情啊啊啊啊，让我觉得max和克洛伊就是cc和莫璃啊	1228.8800048828	2017-03-26 06:11:12
对啊，你是演员！不要入戏太深！	1258.3000488281	2017-03-26 06:12:03
扎心了老铁	1232.6600341797	2017-03-26 06:12:15
哈哈哈哈哈哈这个没毛病	236.16799926758	2017-03-26 06:12:16
讨厌虐狗	206.50300598145	2017-03-26 06:10:54
虐狗啊	233.65899658203	2017-03-26 06:12:44
不是尖叫up主？？？？	20.281000137329	2017-03-26 06:12:47
厉害了	262.76901245117	2017-03-26 06:13:13
不要干	281.80801391602	2017-03-26 06:13:32
期待	100.49099731445	2017-03-26 06:13:49
强行传火	1307.2800292969	2017-03-26 06:13:50
( )	485.30999755859	2017-03-26 06:15:04
有听到一声轻轻的“沙比”吗？	1276.3699951172	2017-03-26 06:15:18
心真大哈哈哈哈	479.09899902344	2017-03-26 06:15:20
C菌一米八六	895.88201904297	2017-03-26 06:15:36
果然大量狗粮√	493.90701293945	2017-03-26 06:14:20
ainininininini	56.467998504639	2017-03-26 06:15:53
期待！	102.79199981689	2017-03-26 06:16:15
期待(☆▽☆)	116.3809967041	2017-03-26 06:16:29
233333333333	173.51499938965	2017-03-26 06:17:26
2.5好评	191.5059967041	2017-03-26 06:17:58
B站三怂	39.82799911499	2017-03-26 06:18:10
椰蛋树	690.6240234375	2017-03-26 06:18:21
2333333333333	570.75299072266	2017-03-26 06:18:30
ccc平胸？！	256.3219909668	2017-03-26 06:18:57
期待	98.717002868652	2017-03-26 06:18:58
期待逃生2	89.27799987793	2017-03-26 06:19:52
( )	700.56896972656	2017-03-26 06:19:57
莫离脖子上的字是什么？	328.18200683594	2017-03-26 06:20:03
